name,arm,status,words,sagascore,opening_score,cost_usd,sha256,withdrawn
dsv4pro-B2-free-r1,free,complete,21924,,55,0.1053,831f1f1dafa33484,
dsv4pro-B2-free-r2,free,complete,15253,,55,0.0745,c309c49f0e4b92c6,
dsv4pro-B2-free-r3,free,complete,11559,,53.8,0.0563,015ba501142c3092,
dsv4pro-B2-sustained-r1,sustained,complete,70979,,,0.7243,8f7eb52c4bdacdce,
dsv4pro-B2-sustained-r2,sustained,complete,82755,39.02,,0.8063,8fa6476dbeb44b33,
dsv4pro-B2-sustained-r3,sustained,complete,59897,,,0.3024,ec68bf7410e36047,
dsv4pro-N1-free-r1,free,complete,17418,,60,0.0841,c1d64edec37e7713,
dsv4pro-N1-free-r2,free,complete,20293,,63.8,0.0961,29b4923a443454a9,
dsv4pro-N1-free-r3,free,complete,22400,,61.3,0.1055,f63eb6742023fb94,
dsv4pro-N1-sustained-r1,sustained,complete,74779,,,0.4059,4c0d0d6e04fde574,
dsv4pro-N1-sustained-r2,sustained,complete,46404,,,0.2273,5d179433d90db238,
dsv4pro-N1-sustained-r3,sustained,complete,59479,,,0.2919,9d75171f6991c4bd,
fable5-B2-free-r1,free,complete,17990,,79,2.4349,ad057c4a3f4dca57,
fable5-B2-free-r2,free,complete,15186,,85,2.3014,2043d1866a3d7e4c,
fable5-B2-free-r3,free,complete,14708,,79,1.6408,ca159189feff9596,
fable5-B2-sustained-r1,sustained,complete,9291,,,2.0585,44904322ff085f4f,
fable5-B2-sustained-r2,sustained,complete,21969,,,4.035,47ad80238bd318e5,
fable5-B2-sustained-r3,sustained,complete,41977,,,18.9043,983583b41673865b,
fable5-N1-free-r1,free,complete,28270,,79,4.4382,ac6a7fa1237a0e04,
fable5-N1-free-r2,free,complete,20586,,79,2.4596,b6e4a37a0241101a,
fable5-N1-free-r3,free,complete,14568,,79,1.9227,7e02a4d40e6518be,
fable5-N1-sustained-r1,sustained,complete,22596,,,4.502,aaaa297265b0a467,
fable5-N1-sustained-r2,sustained,complete,35831,,,17.0083,d895914ad1d3d7b4,
fable5-N1-sustained-r3,sustained,complete,32830,,,7.711,2655e4b11bb51fc5,
gemini31-B2-free-r1,free,complete,3722,,68.8,0.0822,e8b04692d516905c,
gemini31-B2-free-r2,free,complete,6498,,63.8,0.1307,2e352cb012bf841a,
gemini31-B2-free-r3,free,complete,5233,,67.5,0.1105,5e66bc63482fe5d8,
gemini31-B2-sustained-r1,sustained,complete,72941,,,2.1839,8a8d7807bbfab6f3,
gemini31-B2-sustained-r2,sustained,complete,85286,56.04,,3.2965,3433d9c902210f29,
gemini31-B2-sustained-r3,sustained,complete,87133,62.28,,2.652,87e36441702946d0,
gemini31-N1-free-r1,free,complete,6750,,67.5,0.1363,27757a63a54ce08f,
gemini31-N1-free-r2,free,complete,5690,,62.5,0.1237,cfd92ec05ad12d24,
gemini31-N1-free-r3,free,complete,4765,,62.5,0.1034,5efa204919a72224,
gemini31-N1-sustained-r1,sustained,complete,40822,,,1.491,9b9b661a6375dec0,
gemini31-N1-sustained-r2,sustained,complete,47887,,,1.5224,952fbab3926d6245,
gemini31-N1-sustained-r3,sustained,complete,36639,,,1.4624,d1a3f53dae154d5a,
glm53-B2-free-r1,free,failed,6887,,,,,yes
glm53-B2-free-r2,free,complete,26551,,15,0.63,70e0122662d8a27d,yes
glm53-B2-free-r3,free,complete,8414,,79,0.4077,55a1f9fde2074454,yes
glm53-B2-sustained-r1,sustained,failed,0,,,,,yes
glm53-B2-sustained-r2,sustained,failed,0,,,,,yes
glm53-B2-sustained-r3,sustained,failed,0,,,,,yes
glm53-N1-free-r1,free,failed,24962,,,,,yes
glm53-N1-free-r2,free,failed,0,,,,,yes
glm53-N1-free-r3,free,failed,0,,,,,yes
glm53-N1-sustained-r1,sustained,failed,0,,,,,yes
glm53-N1-sustained-r2,sustained,failed,0,,,,,yes
glm53-N1-sustained-r3,sustained,failed,0,,,,,yes
grok46-B2-free-r1,free,complete,3852,,65,0.0379,b6a4a9fa37fdb0f3,
grok46-B2-free-r2,free,complete,5217,,78.8,0.0558,592e97e2acdf4a27,
grok46-B2-free-r3,free,complete,2236,,73.8,0.0306,b6085d080343e08d,
grok46-B2-sustained-r1,sustained,complete,63,,,0.0042,72fa1ab6c07b2c90,
grok46-B2-sustained-r2,sustained,complete,34735,,,1.0734,d8af71be3398a61c,
grok46-B2-sustained-r3,sustained,complete,41913,,,0.9783,6285d84ecda66782,
grok46-N1-free-r1,free,complete,3186,,76.3,0.0412,4cbc86dbf35c6f9e,
grok46-N1-free-r2,free,complete,5020,,76.3,0.0558,8f9be458643228ca,
grok46-N1-free-r3,free,complete,4033,,70,0.0516,bb091c8c1ba1a135,
grok46-N1-sustained-r1,sustained,complete,42932,,,1.608,6492c06da4302a93,
grok46-N1-sustained-r2,sustained,complete,45214,,,1.2883,0f365f1cd0359dfc,
grok46-N1-sustained-r3,sustained,complete,41702,,,0.9677,e9dbec8b61d0e32f,
kimik3-B2-free-r1,free,failed,0,,,,,yes
kimik3-B2-free-r2,free,failed,0,,,,,yes
kimik3-B2-free-r3,free,failed,834,,,,,yes
kimik3-B2-sustained-r1,sustained,failed,0,,,,,yes
kimik3-B2-sustained-r2,sustained,failed,0,,,,,yes
kimik3-B2-sustained-r3,sustained,failed,0,,,,,yes
kimik3-N1-free-r1,free,failed,0,,,,,yes
kimik3-N1-free-r2,free,failed,0,,,,,yes
kimik3-N1-free-r3,free,failed,0,,,,,yes
kimik3-N1-sustained-r1,sustained,failed,0,,,,,yes
kimik3-N1-sustained-r2,sustained,failed,0,,,,,yes
kimik3-N1-sustained-r3,sustained,failed,0,,,,,yes
maverick-B2-free-r1,free,complete,1240,,,0.0013,d9c0ed14daf4f478,
maverick-B2-free-r2,free,complete,1297,,,0.0013,0ad31dc179abbeb4,
maverick-B2-free-r3,free,complete,1472,,,0.0015,2fa57d8742df1af3,
maverick-B2-sustained-r1,sustained,complete,10283,,,0.0458,e313cd28cda4de41,
maverick-B2-sustained-r2,sustained,complete,17354,,,0.0685,14bc0590abcb3f15,
maverick-B2-sustained-r3,sustained,complete,14376,,,0.0564,f00acf68cfa3aefe,
maverick-N1-free-r1,free,complete,1749,,,0.0018,4f081efc26cd6273,
maverick-N1-free-r2,free,complete,1244,,,0.0012,6273704de3d253e3,
maverick-N1-free-r3,free,complete,1489,,,0.0015,955fd8b292a74400,
maverick-N1-sustained-r1,sustained,complete,13890,,,0.0567,1e070ef730c382f8,
maverick-N1-sustained-r2,sustained,complete,14253,,,0.0585,4501fa6e82dad19d,
maverick-N1-sustained-r3,sustained,complete,15970,,,0.0604,d9d395473ab90936,
minimax3-B2-free-r1,free,complete,25093,,63.8,0.0702,4de22a28ea6862d1,
minimax3-B2-free-r2,free,complete,20455,,57.5,0.0635,7b03e501f348c197,
minimax3-B2-free-r3,free,complete,15352,,66.3,0.0284,def3e707c309ad40,
minimax3-B2-sustained-r1,sustained,complete,85192,25.28,,0.1704,5a44da76f610c3c5,
minimax3-B2-sustained-r2,sustained,complete,64563,,,0.1987,2be3d74925f6863a,
minimax3-B2-sustained-r3,sustained,complete,86027,32.02,,0.2333,86ec18e7ed97a0f8,
minimax3-N1-free-r1,free,complete,23691,,68.8,0.036,dacf6c0dd5810f00,
minimax3-N1-free-r2,free,complete,22362,,63.8,0.0442,3c2d17b040b09b13,
minimax3-N1-free-r3,free,complete,22504,,65,0.0334,b37abcdd33ffa55a,
minimax3-N1-sustained-r1,sustained,complete,91359,38.54,,0.158,6ba904b3aa339489,
minimax3-N1-sustained-r2,sustained,complete,99408,,,0.2007,e6ad3f28b9103f8d,
minimax3-N1-sustained-r3,sustained,complete,90810,35.04,,0.1678,af1aefca34428002,
mistral35-B2-free-r1,free,complete,10370,,46.3,0.1187,206a02f7866b7ff5,
mistral35-B2-free-r2,free,complete,7700,,50,0.0812,b675c0c2b32af1af,
mistral35-B2-free-r3,free,complete,12642,,48.8,0.1384,1a3cc1de67bda48f,
mistral35-B2-sustained-r1,sustained,complete,54385,,,2.3868,464a3fd4c75adbb0,
mistral35-B2-sustained-r2,sustained,complete,51279,,,2.3713,c1c91f60ede43f75,
mistral35-B2-sustained-r3,sustained,complete,43343,,,2.2742,93af51c63c17cbfa,
mistral35-N1-free-r1,free,complete,4720,,56.3,0.0503,08f4d57addff0970,
mistral35-N1-free-r2,free,complete,9962,,47.5,0.1072,67960f59fbbf8d28,
mistral35-N1-free-r3,free,complete,3436,,56.3,0.0368,8cdcd242b6b4f2a9,
mistral35-N1-sustained-r1,sustained,complete,48962,,,1.9264,4c0c9ea5d0bd9c71,
mistral35-N1-sustained-r2,sustained,complete,50987,,,2.1541,a835951849d3c096,
mistral35-N1-sustained-r3,sustained,complete,47364,,,1.9471,1a7ba2cb6f238fe6,
opus5-B2-free-r1,free,complete,31279,,79,2.1485,e1c1e666afad4e0b,
opus5-B2-free-r2,free,complete,27803,,79,1.7284,db4898690e62d410,
opus5-B2-free-r3,free,complete,24914,,83.7,1.6741,0b0078ec572c4415,
opus5-B2-sustained-r1,sustained,complete,62570,,,12.0036,a2ac3d3d5348da50,
opus5-B2-sustained-r2,sustained,complete,79540,,,15.5886,8cd31f0bdb04168b,
opus5-B2-sustained-r3,sustained,complete,37173,,,5.845,6fd8d0393f0e2a41,
opus5-B2-sustained-r4,sustained,complete,53415,,,12.7757,c73fa94211ee2063,
opus5-B2-sustained-r5,sustained,complete,59382,,,11.3,ed58118776d26fda,
opus5-B2-sustained-r6,sustained,complete,33298,,,4.293,bafa279e27cc02e6,
opus5-N1-free-r1,free,complete,29657,,79,2.1223,01e4e587145539ae,
opus5-N1-free-r2,free,complete,40641,,80,2.5788,fb6e9744bad22feb,
opus5-N1-free-r3,free,complete,34166,,79,2.5577,dd2054496501a7c6,
opus5-N1-sustained-r1,sustained,complete,80433,82.82,,16.894,4403653235038a14,
opus5-N1-sustained-r2,sustained,complete,33638,,,5.9056,d9e2323cc6f1f606,
opus5-N1-sustained-r3,sustained,complete,68736,,,13.8151,436f1b1a5cf91102,
opus5-N1-sustained-r4,sustained,complete,37923,,,6.5067,4f21d97d90865133,
opus5-N1-sustained-r5,sustained,complete,80259,83.26,,16.7522,4e9c40ec82fd2fd5,
opus5-N1-sustained-r6,sustained,complete,86448,82.84,,16.2064,9b3ca8e1f43e0346,
qwen38-B2-free-r1,free,complete,11757,,71.3,0.1847,6d39a39bd9fe2876,
qwen38-B2-free-r2,free,complete,10812,,79,0.1666,4bce24d659022bb7,
qwen38-B2-free-r3,free,complete,7879,,79,0.1072,96de0d531072c06e,
qwen38-B2-sustained-r1,sustained,complete,85834,63.02,,1.6968,2da1a57d429af4d2,
